89.638	0.0049566
89.676	0.0052239
89.714	0.0057287
89.753	0.0066868
89.791	0.0084892
89.83	0.012118
89.868	0.016729
89.906	0.021078
89.945	0.021734
89.983	0.019215
90.022	0.018745
90.06	0.021087
90.098	0.023702
90.137	0.028077
90.175	0.033326
90.214	0.035332
90.252	0.034204
90.29	0.029746
90.329	0.023278
90.367	0.018994
90.406	0.017086
90.444	0.017437
90.482	0.020708
90.521	0.02603
90.559	0.032729
90.598	0.034828
90.636	0.029612
90.674	0.022192
90.713	0.016779
90.751	0.013695
90.79	0.012404
90.828	0.012176
90.866	0.012612
90.905	0.013381
90.943	0.01087
90.982	0.0067039
91.02	0.0051896
92.297	0.0049281
92.335	0.0056029
92.374	0.0070568
92.412	0.0075143
92.45	0.0069646
92.489	0.0067385
92.527	0.0070093
92.566	0.0078478
92.604	0.0095638
92.642	0.01169
92.681	0.014073
92.719	0.014369
92.758	0.012936
92.796	0.011198
92.834	0.010163
92.873	0.0096529
92.911	0.0097327
92.95	0.010133
92.988	0.010604
93.026	0.010761
93.065	0.010208
93.103	0.0092941
93.142	0.008501
93.18	0.0079326
93.218	0.007486
93.257	0.0074108
93.295	0.0076078
93.334	0.0079321
93.372	0.008143
93.41	0.008197
93.449	0.0077843
93.487	0.0068414
93.526	0.0059944
93.564	0.0053772
93.602	0.0050298
93.641	0.0048387
